,by,descendants,id,kids,score,time,title,type,url
0,ingve,44,37995155,"[37995493, 37995625, 37995764, 37996115, 37995634, 37996342, 37996110, 37996175, 37995693, 37995673, 37996017, 37995644, 37996113, 37995755, 37995574, 37995602, 37996156]",102,1698125951,Unified versus Split Diff,story,https://matklad.github.io/2023/10/23/unified-vs-split-diff.html
1,klelatti,0,37996295,,9,1698136545,Major Changes at RISC-V Designer SiFive,story,https://morethanmoore.substack.com/p/the-risk-of-risc-v-whats-going-on
2,quyleanh,136,37993575,"[37996106, 37994363, 37995366, 37995726, 37994435, 37994225, 37994305, 37993938, 37994132, 37993977, 37996142, 37995796, 37995010, 37996284, 37994422, 37995912, 37996126, 37995544, 37995581, 37995989, 37993890, 37994292, 37994410, 37995170, 37995706, 37995476, 37995446, 37993982, 37994843, 37995697, 37994098, 37994937, 37994371, 37994730, 37994130, 37994220, 37993881]",302,1698107895,SumatraPDF Reader,story,https://github.com/sumatrapdfreader/sumatrapdf
3,zicon35,14,37995761,"[37996343, 37995769, 37996217, 37996392, 37996226, 37996058]",49,1698132179,Show HN: Revert – open-source unified API for product integrations,story,https://github.com/revertinc/revert
4,raytopia,0,37995718,,8,1698131901,Writing games the blog dedicated to text-based gaming,story,https://writing-games.com/
5,quyleanh,73,37995119,"[37995663, 37995955, 37996164, 37995798, 37995611, 37995838, 37996240, 37995837, 37996252, 37996264, 37996337, 37995600, 37995713, 37995612, 37995770, 37995802, 37995586, 37995698, 37996024, 37995666, 37995566, 37995578, 37996162]",130,1698125632,NASA just sent a software update to a spacecraft 12B miles away,story,https://bgr.com/science/nasa-just-sent-a-software-update-to-a-spacecraft-12-billion-miles-away/
6,lxm,102,37994387,"[37994965, 37996198, 37994954, 37995140, 37995861, 37995707, 37995071, 37995012]",111,1698116084,Psychedelic Mushrooms Hit the Market in Oregon,story,https://www.nytimes.com/2023/10/23/us/oregon-psychedelic-mushrooms.html
7,matt_d,17,37989773,"[37990876, 37993959, 37991344, 37990177, 37992984, 37990491, 37990356]",143,1698086345,Cascade: CPU fuzzing via intricate program generation,story,https://comsec.ethz.ch/research/hardware-design-security/cascade-cpu-fuzzing-via-intricate-program-generation/
8,jdblair,111,37991746,"[37995273, 37992973, 37996207, 37994347, 37992244, 37996376, 37993722, 37992616, 37994601, 37992887, 37994799, 37992604, 37993589, 37993029, 37994776, 37993071, 37992328, 37992317, 37992141, 37992214]",174,1698095985,Marcel the Shell,story,https://www.marceltheshell.org
9,zacharyvoase,55,37991695,"[37995801, 37994736, 37994074, 37996118, 37995078, 37994320, 37995845, 37994560, 37995617, 37994078, 37993848, 37994340, 37995413, 37993808, 37994607, 37994957, 37994392, 37993798, 37994051, 37994049, 37994350, 37993744, 37994099]",131,1698095692,"Show HN: WebSession, a Secure Replacement for Cookies",story,https://websession.dev/
